Meta_troph,Simp,S,Metacom,Freq,Time_step,Bio_gr,Trophic_gr,New_tr_g,Ecosys,nSites,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,Simp_gamma,S_gamma
2080020620_Secondary,0.3154831525908991,3.25,2080020620,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,12,0.821526071749032,0.5475229356478981,0.4672535026169802,0.17685543408723,0.5687628411137284,0.32301009249585566,0.6664705533717509,0.3784999643591821,0.9045454545454545,10.5
2080020620_Tertiary,0.04147945570893723,1.5416666666666667,2080020620,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,12,0.4475306346398622,0.4182263139305353,0.28682490237750874,0.22957368869744071,0.6409056278534386,0.5489221530321295,0.934519967034416,0.8003966419738687,0.7083333333333334,3.5
2080021030_Secondary,0.5263175800871049,5.85,2080021030,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,30,0.7328458965522675,0.5104774947778657,0.34527560235518545,0.17414375258667059,0.47114352960091926,0.34113894220243585,0.6965686745050333,0.5043615923013544,0.9511904761904761,20.5
2080021030_Tertiary,0.11619001378012893,1.55,2080021030,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,30,0.4918132310123958,0.43277423832327366,0.202015243669298,0.1295333785595422,0.41075601657452426,0.2993093559852409,0.8799564774465489,0.6412059615243209,0.8333333333333334,6
2080022150_Secondary,0.6499733023851805,9.041666666666666,2080022150,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,12,0.9086903548640483,0.7017875121896278,0.6294746453434833,0.4980574372987674,0.6927273322249148,0.7096983469323815,0.772306549126544,0.7912271621790169,0.9473684210526316,19
2080022150_Tertiary,0.3248979764306672,2.3333333333333335,2080022150,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,12,0.6319156837803036,0.5300725584288183,0.3627800430955132,0.2331449958650485,0.5740956466300335,0.43983600387862143,0.8388343129225245,0.642662131785639,0.7999999999999999,5
2080023010_Secondary,0.6399197861017403,8.75,2080023010,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,12,1.0059460301943788,0.6156001397457964,0.6712745318059832,0.34055372295617004,0.6673067059832951,0.5532060520596974,0.6119613987907921,0.5073240631369572,0.9444444444444444,18
2080023010_Tertiary,0.36221329495767346,2.5416666666666665,2080023010,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,12,0.8235623270963661,0.6464685353598412,0.49237497400393626,0.3532566246756414,0.597860001367356,0.5464405541083444,0.7849661332119154,0.7174544672792759,0.7999999999999999,5
2080030100_Secondary,0.41721996418707025,2.8076923076923075,2080030100,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,13,0.5956141114763414,0.3722859336110465,0.39412924449706405,0.22992896493751683,0.6617191179707625,0.6176138934589452,0.6250455226594044,0.5833846844603525,0.75,4
2080030100_Tertiary,0.08222892415768718,2.6153846153846154,2080030100,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,13,0.6766735768732353,0.6341222720667461,0.541066250916325,0.5166319951237885,0.7995971313324766,0.8147198385572699,0.9371169404853819,0.9548405472506265,0.75,4
2080030610_Secondary,0.17974079691067466,1.6785714285714286,2080030610,Inter_annual,10,Fish,Consumers_Vert,Secondary,Stream,14,0.8716785154821762,0.7867743657227859,0.46952668148712645,0.375314881825804,0.5386466147182759,0.4770298807092089,0.9025969457186577,0.7993472929740084,0.6666666666666667,3
2080030610_Tertiary,0.19048003009481793,1.75,2080030610,Inter_annual,10,Fish,Consumers_Vert,Tertiary,Stream,14,0.6241354488166336,0.51120802409171,0.341491956816036,0.2753078776006594,0.5471439852735617,0.5385437329349697,0.819065837489226,0.8061913966218818,0.75,4
