Site_troph,Lat,Long,Simp,synchrony_comm_site,mean_cv_species_site,cv_comm_site,Metacom,Meta_troph,Site,Bio_gr,Ecosys,New_tr_g,S
2080020590_515_Tertiary,44.68598,2.837887003,0,0.9965088109811984,2.2464284478564664,0.4141087996935309,2080020590,2080020590_Tertiary,2080020590_515,Fish,Stream,Tertiary,1
2080020590_527_Secondary,43.51213,1.387766842,0.6899540669742349,0.49384793331145965,1.9526590961391073,0.5721234468326984,2080020590,2080020590_Secondary,2080020590_527,Fish,Stream,Secondary,8
2080020590_527_Tertiary,43.51213,1.387766842,0.5561224489795918,0.7418180451068939,1.4951135163154277,0.7666127661014254,2080020590,2080020590_Tertiary,2080020590_527,Fish,Stream,Tertiary,2.5
2080020590_533_Secondary,43.70203,2.781619748,0,0.9968170367682584,0.8283406507342077,0.36691707668708756,2080020590,2080020590_Secondary,2080020590_533,Fish,Stream,Secondary,1
2080020590_533_Tertiary,43.70203,2.781619748,0,1,0.40696767462001937,0.40696767462001937,2080020590,2080020590_Tertiary,2080020590_533,Fish,Stream,Tertiary,1
2080020590_534_Secondary,43.08432,1.83997429,0.7142913897547187,0.6260466107185604,1.4791499113900801,0.43482465041617196,2080020590,2080020590_Secondary,2080020590_534,Fish,Stream,Secondary,9
2080020590_534_Tertiary,43.08432,1.83997429,0.57,0.6077584301890584,2.0777306013582546,1.0870408678262815,2080020590,2080020590_Tertiary,2080020590_534,Fish,Stream,Tertiary,1.5
2080020590_544_Secondary,44.31519,0.090927945,0.7021402651901262,0.6047153258894904,1.7406192443176032,0.6601506849325806,2080020590,2080020590_Secondary,2080020590_544,Fish,Stream,Secondary,6.5
2080020590_544_Tertiary,44.31519,0.090927945,0.3568736303871438,0.48998507131075575,1.8322248114550233,0.7751329337371827,2080020590,2080020590_Tertiary,2080020590_544,Fish,Stream,Tertiary,3
2080020590_545_Secondary,44.52655,0.741022084,0.7540705026744914,0.8225481888166104,1.4875979029926905,0.594493290570672,2080020590,2080020590_Secondary,2080020590_545,Fish,Stream,Secondary,10
2080020590_545_Tertiary,44.52655,0.741022084,0.4722222222222222,0.7359142488865689,1.5566520598782154,0.6541525195431183,2080020590,2080020590_Tertiary,2080020590_545,Fish,Stream,Tertiary,2.5
2080020590_546_Secondary,44.42811,0.289472985,0.7431688547098663,0.8138799776296648,1.7381785503062028,0.7133355376166393,2080020590,2080020590_Secondary,2080020590_546,Fish,Stream,Secondary,8.5
2080020590_546_Tertiary,44.42811,0.289472985,0.025299375948726555,0.9375720844851346,2.4988750540689515,0.8367124621402576,2080020590,2080020590_Tertiary,2080020590_546,Fish,Stream,Tertiary,1.5
2080020590_548_Secondary,44.65912,0.648622229,0.707403173089435,0.4410824356228886,1.400665909203932,0.29275512443503954,2080020590,2080020590_Secondary,2080020590_548,Fish,Stream,Secondary,11.5
2080020590_548_Tertiary,44.65912,0.648622229,0.4119897959183673,0.9062506496509855,1.6800536999904192,1.7295126273671035,2080020590,2080020590_Tertiary,2080020590_548,Fish,Stream,Tertiary,3
2080020590_554_Secondary,44.24386,0.807816718,0.6927355482178774,0.8246254204163556,1.6618872483100422,0.951419079189327,2080020590,2080020590_Secondary,2080020590_554,Fish,Stream,Secondary,7
2080020590_554_Tertiary,44.24386,0.807816718,0.23939508506616258,0.8076250768048128,1.7133885978078238,1.439094676789149,2080020590,2080020590_Tertiary,2080020590_554,Fish,Stream,Tertiary,1.5
2080020590_557_Secondary,44.3233,0.333329856,0.6883891482119668,0.7183241658500272,1.8253170705297244,0.8578506616037006,2080020590,2080020590_Secondary,2080020590_557,Fish,Stream,Secondary,9
2080020590_557_Tertiary,44.3233,0.333329856,0.17959753668643125,0.5118759190155516,1.9083991083243403,0.3324642370432392,2080020590,2080020590_Tertiary,2080020590_557,Fish,Stream,Tertiary,2.5
2080020590_564_Secondary,44.19348,0.610663188,0.5122280907074677,0.6733187587980003,1.6605315721083593,0.5521006133314769,2080020590,2080020590_Secondary,2080020590_564,Fish,Stream,Secondary,10
2080020590_564_Tertiary,44.19348,0.610663188,0.2313888888888888,0.6238728340342116,1.9082522190047029,0.522591029594362,2080020590,2080020590_Tertiary,2080020590_564,Fish,Stream,Tertiary,3
2080020590_565_Secondary,44.35809,0.381504417,0.6416714584173429,0.7221403419557371,1.6711043817200997,0.8108272319342233,2080020590,2080020590_Secondary,2080020590_565,Fish,Stream,Secondary,8.5
2080020590_565_Tertiary,44.35809,0.381504417,0.39128592613515994,0.7370838636917186,2.105444852680243,0.6029299547605627,2080020590,2080020590_Tertiary,2080020590_565,Fish,Stream,Tertiary,3
2080020590_566_Secondary,44.28879,0.320432989,0.5642510088438133,0.7080456776427361,1.6999384625797282,0.663410064887458,2080020590,2080020590_Secondary,2080020590_566,Fish,Stream,Secondary,10
2080020590_566_Tertiary,44.28879,0.320432989,0.3186058599108368,0.6667017152731821,1.5467109710680973,0.5093093887673217,2080020590,2080020590_Tertiary,2080020590_566,Fish,Stream,Tertiary,3.5
2080020620_181_Secondary,45.60424,2.690991573,0.04475138594324679,0.880446952206327,2.084520340394333,0.9757563104576088,2080020620,2080020620_Secondary,2080020620_181,Fish,Stream,Secondary,2
2080020620_181_Tertiary,45.60424,2.690991573,0,1,0.3327977133690713,0.3327977133690713,2080020620,2080020620_Tertiary,2080020620_181,Fish,Stream,Tertiary,1
2080020620_184_Secondary,45.56237,2.633922817,0,1,0.6774362336173335,0.6774362336173335,2080020620,2080020620_Secondary,2080020620_184,Fish,Stream,Secondary,1
2080020620_184_Tertiary,45.56237,2.633922817,0,1,0.49601542554256106,0.49601542554256106,2080020620,2080020620_Tertiary,2080020620_184,Fish,Stream,Tertiary,1
2080020620_431_Secondary,45.07448,-0.121763872,0.6831000594883998,0.43219389605362946,1.7693683574068757,0.4605127231547097,2080020620,2080020620_Secondary,2080020620_431,Fish,Stream,Secondary,7.5
2080020620_431_Tertiary,45.07448,-0.121763872,0.1252777777777777,0.8792967891597221,1.5855077380621718,0.5301911972989938,2080020620,2080020620_Tertiary,2080020620_431,Fish,Stream,Tertiary,2.5
2080020620_432_Secondary,45.02287,-0.060682006,0.6664627447603345,0.5784665108408849,1.967387596043302,0.8264800306458564,2080020620,2080020620_Secondary,2080020620_432,Fish,Stream,Secondary,7
2080020620_432_Tertiary,45.02287,-0.060682006,0.09420979222129511,0.7772852630122286,1.3572438869592283,0.41018725081256074,2080020620,2080020620_Tertiary,2080020620_432,Fish,Stream,Tertiary,2
2080020620_434_Secondary,45.43539,1.86401759,0,0.9929666456703461,1.2686082745283382,0.4288279941202626,2080020620,2080020620_Secondary,2080020620_434,Fish,Stream,Secondary,1
2080020620_434_Tertiary,45.43539,1.86401759,0.015837470520604136,0.9523022002516881,0.9733326078435891,0.39124763694102394,2080020620,2080020620_Tertiary,2080020620_434,Fish,Stream,Tertiary,2
2080020620_435_Secondary,45.24516,1.988087222,0.5625,0.7777698117222471,2.5468992102040917,2.3187757606759933,2080020620,2080020620_Secondary,2080020620_435,Fish,Stream,Secondary,1
2080020620_435_Tertiary,45.24516,1.988087222,0.1513873058754484,0.8430192959258057,1.0393777109805908,0.7120954302820091,2080020620,2080020620_Tertiary,2080020620_435,Fish,Stream,Tertiary,2
2080020620_437_Secondary,45.30392,1.413368141,0.6558784997528453,0.5326432834074651,1.37308124354617,0.34431549372080233,2080020620,2080020620_Secondary,2080020620_437,Fish,Stream,Secondary,6
2080020620_437_Tertiary,45.30392,1.413368141,0.08585756555453516,0.9734931022198497,1.3315418562814596,0.4615268805140584,2080020620,2080020620_Tertiary,2080020620_437,Fish,Stream,Tertiary,2
2080020620_438_Secondary,45.58266,2.063903433,0.051655019660454604,0.893735959890179,1.5197512404322542,0.387528590164181,2080020620,2080020620_Secondary,2080020620_438,Fish,Stream,Secondary,2
